Bloodhound,Issues missing,Issues missing,329,2013-04-08 07:20:19,254,37,1,1,True,-10,Commits or Issues or PRs missing,20,0,,-1,,46401,71,1483,Issues missing,33.49,6,7,6,28,14.788732394366198,339,2013-03-20,2023-04-15,12,https://github.com/apache/Bloodhound
brooklyn,5337527.811984751,2119,346,2015-12-02 08:00:06,22,70,-2,1,True,-6,89,23,6,,-1,,26297,83,2506,0.5772151898734177,0.0,0,0,0,0,0.0,0,2015-11-18,2024-07-11,12,https://github.com/apache/brooklyn
Buildr,14307120.323351242,2183,368,2009-05-21 03:16:15,159,90,2,3,True,-3,186,26,435,,-1,,71886,7,4393,0.04629035706649562,7.7,27,0,4,3,11.341433039050175,106,2009-02-23,2022-07-07,12,https://github.com/apache/Buildr
cxf,5305442.43280377,28021,3135,2014-02-19 08:00:08,-269,1427,76,2,False,3,3364,280,540,,22704,,81450,987,38174,0.04029562748024903,122.24,0,1,18,78,10.954682545820122,270,2008-04-16,2024-07-12,12,https://github.com/apache/cxf
calcite,2703570.3499742015,36455,11246,2014-06-25 07:00:07,54,2314,57,2,False,6,1591,436,1586,,25377,,74996,1073,4904,0.03934204004006029,51.01,0,6,34,64,5.842364724754489,474,2015-10-22,2024-07-12,12,https://github.com/apache/calcite
carbondata,2573552.0577221178,4427,3562,2016-06-28 07:00:06,483,704,-342,6,False,-56,467,177,257,,-1,,38704,852,5208,0.027771365252320053,69.03,0,11,6,97,11.891818223117344,361,2017-04-19,2024-07-06,12,https://github.com/apache/carbondata
cassandra,3227039.5237649814,151438,20788,2009-05-21 02:10:09,37,3572,99,10,False,34,4862,583,789,,49549,,34656,15937,15638,0.024783786973758208,96.35,12,3,31,46,5.020485683911272,420,2010-02-17,2024-07-12,12,https://github.com/apache/cassandra
Cayenne,6577428.130723387,5902,759,2009-05-21 01:05:37,96,133,4,2,False,0,379,69,0,,79622,,56294,2111,6554,0.015116948465917572,68.57,0,8,5,28,11.015244726879395,1258,2006-12-20,2024-07-12,12,https://github.com/apache/Cayenne
celeborn,888140.8746164137,342,1984,2021-12-10 08:57:16,0,338,-73,5,False,0,72,0,1031,,62324,,35643,684,1950,0.00911526284660613,38.74,38,1,7,24,14.674099330699429,322,2024-03-21,2024-07-13,12,https://github.com/apache/celeborn
celix,9461165.844177874,1268,403,2014-08-09 07:00:07,-18,85,7,2,False,0,73,40,1104,,47614,,16378,1869,2882,0.014587106564197955,6.08,40,1,6,10,10.43337983955354,154,2014-07-16,2024-07-11,12,https://github.com/apache/celix
Chemistry,3686599.8813372506,3096,22,2009-05-21 02:28:25,227,8,PRs missing,2,False,-10,Commits or Issues or PRs missing,11,0,,PRs missing,,PRs missing,25,482,0.1762496388327073,0.0,0,0,0,0,NaN,0,2010-02-16,2022-01-26,12,https://github.com/apache/Chemistry
Chukwa,2653716.3200955587,560,213,2012-04-07 07:00:24,19,45,0,1,True,-2,31,9,0,,-1,,34723,556,548,0.007568359375,15.01,38,1,6,17,12.52034649853131,385,2013-09-27,2019-07-05,12,https://github.com/apache/Chukwa
Clerezza,2862894.8425464923,976,103,2011-02-12 08:00:07,117,29,1,1,False,-4,44,17,1,,-1,,68927,314,3798,0.01443277457049454,30.72,5,0,2,1,6.523757932208636,228,2013-02-20,2022-05-20,12,https://github.com/apache/Clerezza
Click,4661232.728844296,882,36,2013-11-08 08:00:11,272,12,PRs missing,1,True,-5,Commits or Issues or PRs missing,8,0,,PRs missing,,PRs missing,570,10443,0.00293968326755212,21.34,43,1,5,7,13.827496316445654,194,2009-11-18,2015-09-14,12,https://github.com/apache/Click
cloudstack,2080764.2270408163,16555,4792,2013-04-29 22:27:12,2405,1072,66,16,False,-61,775,607,2707,,74294,,56320,612,50854,0.000814766383342554,44.65,0,48,151,257,23.51793355806089,540,2013-03-20,2024-07-23,12,https://github.com/apache/cloudstack
incubator-CommonsRDF,3116378.3989677425,193,133,2015-03-19 07:00:05,8,43,-1,2,False,0,38,15,0,,-1,,69811,229,1491,0.005708848715509039,71.25,2,0,0,0,5.288736420811892,91,2016-11-28,2024-07-12,12,https://github.com/apache/incubator-CommonsRDF
cordova,1748916.7862903227,1151,1264,2018-02-13 10:02:11,0,62,0,1,True,0,73,11,2,,27,,36686,24,25,0.0,0.0,0,0,0,0,NaN,0,2012-10-17,2024-07-08,12,https://github.com/apache/cordova
CouchDB,17370697.99749606,27675,13234,2009-05-21 02:03:38,142,1018,3,2,False,4,1695,289,3943,,74697,,23859,571,17018,0.05584403542120636,45.44,25,9,27,22,15.131052153952917,446,2008-11-19,2024-07-12,12,https://github.com/apache/CouchDB
Crunch,438762.56447754515,3418,293,2012-10-19 07:00:12,52,85,1,1,True,-6,190,55,0,,-1,,61888,57,1217,0.0467412771560237,18.36,20,0,0,4,14.26175538853345,114,2013-02-20,2021-02-02,12,https://github.com/apache/Crunch
Curator,8543990.76894107,4215,7406,2014-03-03 08:00:07,67,1236,5,2,False,-2,580,139,1092,,3771,,3988,297,2764,0.03545716342692585,98.19,13,0,1,0,9.302192126707219,78,2013-09-01,2024-06-21,12,https://github.com/apache/Curator
Daffodil,19028044.231168017,2471,253,2017-08-29 07:00:10,4,73,-34,2,False,-3,57,21,0,,5835,,44482,154,3934,0.009129213483146067,67.37,32,3,11,11,8.760543113873284,740,2021-02-17,2024-07-10,12,https://github.com/apache/Daffodil
DataFu,16224143.333162652,225,294,2014-01-14 08:00:07,5,66,0,1,False,0,33,15,0,,202,,73929,145,526,0.0013168724279835392,64.74,17,0,0,6,20.682749203459263,181,2018-02-21,2024-07-10,12,https://github.com/apache/DataFu
DataSketches,5524025.4081,14,176,2019-05-08 19:29:09,3,10,0,1,True,-1,5,2,0,,-1,,376,509,112,5.340168749332479e-05,0.0,0,0,0,0,0.0,0,2020-12-16,2024-06-13,12,https://github.com/apache/DataSketches
DeltaSpike,7193572.719667012,3852,433,2013-06-04 07:00:12,-17,137,5,2,False,-3,310,72,1228,,-1,,14317,64,2628,0.043863786435241955,83.62,38,0,0,8,3.312295973884657,141,2013-05-28,2024-05-21,12,https://github.com/apache/DeltaSpike
Deltacloud,1942697.7177250981,2104,169,2010-07-29 23:31:00,167,25,0,2,True,-5,103,33,0,,-1,,65397,88,2586,0.034282064021577116,159.19,14,0,2,0,27.735445895823254,94,2011-10-26,2020-09-22,12,https://github.com/apache/Deltacloud
Derby,7317177.814795682,66972,818,2011-06-19 07:00:34,88,140,0,4,False,-11,1063,37,0,,-1,,67715,117,8152,0.04954986969912343,95.1,0,22,53,170,10.741400427322358,901,2005-07-18,2024-07-02,12,https://github.com/apache/Derby
DirectMemory,1849309.6265779824,135,136,2011-10-15 07:00:08,76,28,1,1,True,-5,26,7,0,,-1,,76108,10,643,0.008926627476594819,40.69,3,0,2,0,7.289701062667594,78,2012-08-15,2023-12-16,12,https://github.com/apache/DirectMemory
DistributedLog,1494305.4623906256,180,440,2016-07-22 07:00:06,40,74,-22,1,True,-4,21,9,0,,75865,,25760,53,310,0.005411346918068826,43.83,40,1,6,10,5.70827425330467,136,2017-07-01,2023-04-17,12,https://github.com/apache/DistributedLog
DolphinScheduler,758930.9804658152,22365,29384,2019-03-01 16:39:25,71,4506,-134,12,False,-1,769,391,2355,,60410,,26689,1619,9270,0.01343059411552959,30.91,41,1,7,40,18.12270828003752,494,2021-03-17,2024-07-12,12,https://github.com/apache/DolphinScheduler
incubator-Doris,1725646.2921501705,7486,26907,2017-08-10 12:13:30,-3453,3129,-1541,16,False,-8,792,291,8227,,84653,,13055,5005,27023,0.0,38.77,0,50,132,464,26.528889782873037,1039,2022-06-15,2024-07-14,12,https://github.com/apache/incubator-Doris
Drill,4160190.3085112846,52091,4831,2012-09-05 07:00:26,146,983,11,9,False,-13,1115,227,669,,1272,,23006,264,4496,0.07810551390737756,58.78,0,9,9,57,11.353865257781475,358,2014-11-19,2024-07-11,12,https://github.com/apache/Drill
Druid,17795523.673546858,8766,30275,2012-10-23 19:08:07,-145,3657,44,7,False,26,654,278,2924,,80283,,84603,4255,11903,0.0021915280140719167,118.46,0,5,39,181,17.606106537059308,644,2019-12-18,2024-07-13,12,https://github.com/apache/Druid
