status_pair,subset_name,adjusted_score,combined_internal_score,feature_penalty_multiplier,num_features,ari,silhouette,davies_bouldin,calinski_harabasz,sil_norm,db_norm,ch_norm,nmi,v_measure
"('graduated', 'retired')",COM+SWQ+TEC,0.4366,0.3465,1.2600,14,-0.0623,0.2355,1.9969,38.7814,0.5097,0.2395,0.2904,0.0917,0.0917
"('graduated', 'retired')",COM+POP+SWQ+TEC,0.4335,0.3386,1.2800,15,-0.0506,0.2412,2.0480,38.8028,0.5230,0.2023,0.2906,0.1015,0.1015
"('graduated', 'retired')",COM+STA,0.4155,0.3462,1.2000,11,0.0969,0.1498,1.5653,30.0429,0.3089,0.5541,0.1757,0.0295,0.0295
"('graduated', 'retired')",POP+SWQ,0.4076,0.3514,1.1600,9,-0.0027,0.2147,1.8375,34.7529,0.4610,0.3557,0.2375,0.0014,0.0014
"('graduated', 'retired')",COM+POP+STA,0.3939,0.3229,1.2200,12,0.0969,0.1350,1.5836,28.3706,0.2742,0.5407,0.1537,0.0295,0.0295
"('graduated', 'retired')",COM+TEC,0.3549,0.3227,1.1000,6,0.0303,0.1870,1.8377,33.1517,0.3960,0.3555,0.2165,0.0119,0.0119
"('graduated', 'retired')",STA+TEC,0.3481,0.2807,1.2400,13,0.0969,0.1128,1.6798,28.0332,0.2223,0.4706,0.1493,0.0295,0.0295
"('graduated', 'retired')",POP+STA+TEC,0.3310,0.2627,1.2600,14,0.0969,0.1012,1.6939,26.7612,0.1951,0.4603,0.1326,0.0295,0.0295
"('graduated', 'retired')",COM+POP+TEC,0.3110,0.2777,1.1200,7,0.0341,0.1370,1.7958,29.4483,0.2790,0.3861,0.1679,0.0092,0.0092
"('graduated', 'retired')",COM+SWQ,0.3022,0.2561,1.1800,10,-0.0022,0.1780,2.0436,30.9689,0.3749,0.2055,0.1878,0.0001,0.0001
"('graduated', 'retired')",COM+POP+SWQ,0.2718,0.2265,1.2000,11,-0.0071,0.1705,2.1241,30.0081,0.3574,0.1468,0.1752,0.0060,0.0060
"('graduated', 'retired')",COM+STA+TEC,0.2511,0.1962,1.2800,15,0.0969,0.0807,1.8566,24.2626,0.1470,0.3418,0.0998,0.0295,0.0295
"('graduated', 'retired')",COM+POP+STA+TEC,0.2387,0.1836,1.3000,16,0.0969,0.0720,1.8649,23.4112,0.1265,0.3358,0.0886,0.0295,0.0295
"('graduated', 'retired')",STA+SWQ,0.1728,0.1309,1.3200,17,0.1068,0.0699,2.0219,20.4507,0.1218,0.2213,0.0497,0.0334,0.0334
"('graduated', 'retired')",POP+STA+SWQ,0.1608,0.1200,1.3400,18,0.1068,0.0612,2.0288,19.8974,0.1013,0.2163,0.0425,0.0334,0.0334
"('graduated', 'retired')",COM+STA+SWQ,0.0911,0.0670,1.3600,19,0.0959,0.0415,2.1514,18.1092,0.0550,0.1269,0.0190,0.0276,0.0276
"('graduated', 'retired')",COM+POP+STA+SWQ,0.0821,0.0595,1.3800,20,0.0959,0.0348,2.1540,17.7226,0.0394,0.1251,0.0139,0.0276,0.0276
"('graduated', 'retired')",STA+SWQ+TEC,0.0690,0.0493,1.4000,21,0.1068,0.0363,2.2114,18.2988,0.0430,0.0832,0.0215,0.0334,0.0334
"('graduated', 'retired')",POP+STA+SWQ+TEC,0.0604,0.0426,1.4200,22,0.1068,0.0303,2.2133,17.9503,0.0289,0.0818,0.0169,0.0334,0.0334
"('graduated', 'retired')",COM+STA+SWQ+TEC,0.0072,0.0050,1.4400,23,0.1068,0.0229,2.3256,16.9198,0.0115,0.0000,0.0034,0.0334,0.0334
"('graduated', 'retired')",ALL,0.0005,0.0003,1.4600,24,0.1068,0.0180,2.3243,16.6608,0.0000,0.0009,0.0000,0.0334,0.0334
