commons-bsf,9775730.864628572,26,68,2013-07-12 07:00:16,-34,20,9,2,False,1,20,10,0,,-1,,63721,27,1011,0.0032600821057715526,11.18,13,0,0,5,6.209530134484476,252,2013-07-12,2024-08-16,12,https://github.com/apache/commons-bsf
commons-chain,6880383.3459673915,9,197,2013-07-12 07:00:17,2,53,3,2,False,-1,15,7,0,,-1,,52258,45,708,0.02233389168062535,53.99,1,0,2,0,28.344155844155843,50,2013-07-12,2023-10-24,12,https://github.com/apache/commons-chain
commons-cli,9518509.509413559,742,868,2009-05-28 08:00:15,-62,186,8,4,False,4,229,45,0,,66005,,72305,112,1660,0.05810310452862432,122.42,7,0,0,0,3.7932930181418363,64,2009-05-28,2024-08-21,12,https://github.com/apache/commons-cli
commons-codec,4344142.4088184815,1565,1145,2009-05-21 01:20:25,53,231,13,1,False,-1,222,46,16,,1,,24396,191,2715,0.027340370306281364,133.53,14,1,0,2,6.039774122268598,203,2009-05-21,2024-08-21,12,https://github.com/apache/commons-codec
commons-collections,6052142.282312416,2194,1798,2009-05-21 01:12:20,-246,458,13,3,False,4,395,82,51,,30139,,68964,154,4643,0.01758862662899845,116.73,22,0,2,1,16.964885752688172,141,2009-05-21,2024-08-21,12,https://github.com/apache/commons-collections
commons-compress,4619455.024900312,3162,910,2011-10-15 07:00:08,-105,258,26,2,False,3,448,96,6,,-1,,27558,226,5167,0.005688669475535884,62.12,35,1,3,14,5.460200437737588,229,2011-10-15,2024-08-21,12,https://github.com/apache/commons-compress
commons-configuration,1962084.1526633292,1288,523,2013-02-26 08:00:12,-16,135,36,2,False,5,263,40,0,,-1,,30693,132,4858,0.024788451966152314,95.4,9,0,3,0,20.046152682151774,70,2013-02-26,2024-08-21,12,https://github.com/apache/commons-configuration
commons-crypto,7479914.880967321,656,329,2016-04-13 07:00:07,203,95,-51,3,False,-8,93,33,0,,49,,18673,132,1663,0.031813361611876985,49.36,2,0,0,0,13.147410358565738,62,2016-04-13,2024-08-21,12,https://github.com/apache/commons-crypto
commons-csv,4548316.435068493,1143,1007,2013-06-12 07:00:17,13,259,28,2,False,1,255,44,0,,-1,,70771,119,2438,0.003971385657187953,242.97,10,0,1,0,2.271694684234439,76,2013-06-12,2024-08-21,12,https://github.com/apache/commons-csv
commons-daemon,10990571.486580718,790,258,2013-07-12 07:00:18,-56,66,9,3,False,3,202,19,538,,-1,,33091,262,1692,0.12199630314232902,1.42,22,1,4,18,6.563156315631563,194,2013-07-12,2024-08-18,12,https://github.com/apache/commons-daemon
commons-dbcp,8506186.807987545,874,904,2013-07-10 07:00:11,-34,240,18,3,False,1,197,44,11,,-1,,19050,141,3247,0.05221829603455045,107.66,9,1,3,1,4.761521108604576,108,2013-07-10,2024-08-19,12,https://github.com/apache/commons-dbcp
commons-dbutils,9140796.016462069,239,906,2013-07-12 07:00:18,-64,178,8,3,False,3,72,22,0,,-1,,78065,87,1382,0.03180396246089677,106.07,1,0,0,0,3.218390804597701,37,2013-07-12,2024-08-18,12,https://github.com/apache/commons-dbutils
commons-digester,9355644.832694445,51,148,2013-07-12 07:00:18,-168,42,10,2,False,3,32,7,0,,-1,,77211,183,2896,0.022916281648493807,68.43,10,0,2,2,5.6130972268626795,189,2013-07-12,2024-08-21,12,https://github.com/apache/commons-digester
commons-email,5015411.548595745,321,415,2013-07-11 07:00:16,-7,111,11,1,False,1,103,22,0,,0,,43980,86,1622,0.04938271604938271,268.75,5,0,0,0,73.99764150943396,66,2013-07-11,2024-08-18,12,https://github.com/apache/commons-email
commons-fileupload,10488736.429424332,786,638,2011-10-15 07:00:07,-47,172,23,1,False,4,179,39,69,,-1,,46521,109,1953,0.062402980440856876,126.81,3,0,0,0,6.259904912836767,68,2011-10-15,2024-08-21,12,https://github.com/apache/commons-fileupload
commons-functor,6198635.194129031,25,69,2013-07-11 07:00:16,7,27,0,2,False,-1,17,9,0,,-1,,62361,25,910,0.0009885330170027679,173.33,0,0,0,0,10.788091068301226,29,2013-07-11,2023-10-02,12,https://github.com/apache/commons-functor
