project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,project_url,status
opendal,1360499.9835766423,1168,6504,3,33,422,-268,3,0,-4,110,12,1833,3177,1282,3409,0.0,10.54,2,0,1,4,22.33431631227689,170,2024-01-18,2024-07-17,https://github.com/apache/opendal,evolved
OpenEJB,12168864.498799697,3973,52,12,443,28,1,2,0,-9,280,24,0,85757,900,23327,0.005834452652787105,47.99,0,21,12,148,23.458501303087388,343,2007-05-16,2023-07-07,https://github.com/apache/OpenEJB,evolved
OpenJPA,5886853.804345235,11261,406,16,151,132,2,4,0,-8,848,50,0,25369,272,7311,0.04819708159771025,76.35,0,19,46,53,13.097100062562102,511,2007-05-16,2024-07-11,https://github.com/apache/OpenJPA,evolved
OpenNLP,13076362.754621353,5297,3265,14,125,445,0,2,0,4,311,68,152,15291,95,2940,0.021991412324474876,33.3,39,1,3,6,14.754860711280394,200,2012-02-15,2024-08-07,https://github.com/apache/OpenNLP,evolved
OpenWebBeans,6846281.397965649,4096,183,14,282,57,10,2,0,-4,193,34,123,73099,119,4380,0.031584453206727287,83.01,44,0,5,9,5.586380832282472,150,2009-12-17,2024-07-15,https://github.com/apache/OpenWebBeans,evolved
OpenWhisk,4079354.739025857,1346,14020,9,61,1162,-74,9,0,-18,153,80,789,29951,646,2459,0.0025566998463107398,126.9,40,0,2,8,8.291624475625634,165,2019-07-17,2024-07-16,https://github.com/apache/OpenWhisk,evolved
Openmeetings,1488120.642857143,252,1508,10,-11,254,1,1,0,2,42,23,0,17270,116,5892,1.1920229822030968e-05,6.05,42,0,3,16,22.43413936959209,303,2013-01-18,2024-07-11,https://github.com/apache/Openmeetings,evolved
PDFBox,11937179.846509341,52171,5920,16,-299,838,0,3,0,0,2209,13,0,78554,293,19323,0.0391852770885029,19.79,22,2,14,50,18.63682583375273,340,2009-10-21,2024-08-14,https://github.com/apache/PDFBox,evolved
paimon,833410.7706766918,448,5166,3,0,854,-139,3,0,0,92,0,99,15168,965,2389,0.0,74.4,23,1,4,20,10.422021535255295,201,2024-03-21,2024-07-17,https://github.com/apache/paimon,evolved
Phoenix,3402117.0505230892,57505,3032,11,295,994,10,4,0,1,1252,223,1489,72260,165,14658,0.046757893718872394,16.03,0,19,60,252,22.691490157122868,1164,2014-05-21,2024-08-16,https://github.com/apache/Phoenix,evolved
Pig,3478102.0736324238,32652,1801,16,55,449,0,4,0,-3,1070,42,0,4913,4647,1663,0.03416074619709716,74.72,0,11,18,64,15.04034216288521,495,2008-10-22,2024-07-31,https://github.com/apache/Pig,evolved
Pinot,2758498.131188119,6905,11781,11,-178,1231,-227,7,0,7,351,172,1926,19053,300,11724,0.0,60.44,0,13,15,101,14.207303169484348,434,2021-07-21,2024-07-17,https://github.com/apache/Pinot,evolved
Pluto,10376787.017367985,2626,18,16,30,10,2,3,1,-5,198,19,0,9645,54,2243,0.03291525648682726,18.29,17,0,0,4,9.310949298813377,134,2004-05-15,2024-02-02,https://github.com/apache/Pluto,evolved
PredictionIO,3608154.793075473,492,27019,12,14,1935,-5,5,0,-8,72,33,90,284,1492,3010,0.0016255682600909217,39.02,8,0,0,4,14.771927079258274,686,2017-10-18,2020-12-29,https://github.com/apache/PredictionIO,evolved
Qpid,7839941.428952428,31872,341,16,1107,91,0,1,1,-17,612,49,0,26908,2838,35301,0.02386301790424092,76.21,24,2,2,12,7.471264367816092,244,2008-12-18,2024-07-19,https://github.com/apache/Qpid,evolved
creadur-rat,11763581.868168116,2212,96,13,-181,44,19,2,0,7,138,20,234,56429,236,2659,0.013325772611284377,81.55,5,0,0,2,4.260306080242658,119,2012-04-18,2024-08-16,https://github.com/apache/creadur-rat,evolved
REEF,2778333.256623267,4737,285,11,165,97,-185,5,1,-14,162,71,201,51017,217,3741,0.012441023094114725,40.22,44,0,0,7,8.381204890263662,180,2015-11-18,2022-07-06,https://github.com/apache/REEF,evolved
Ranger,2837091.6547071375,10249,2707,11,223,943,24,7,0,-2,793,120,20,63943,234,6801,0.025689041725540936,13.3,0,26,63,135,27.358754992706032,454,2017-01-18,2024-08-15,https://github.com/apache/Ranger,evolved
Rave,2451691.2257217956,1932,44,11,232,14,1,3,0,-12,87,21,0,68270,41,1730,0.045754956786985254,62.85,19,2,1,1,15.70625536510398,60,2012-03-21,2017-05-05,https://github.com/apache/Rave,evolved
RocketMQ,4179780.3138552,12882,53180,9,-18,11534,60,7,0,19,1217,580,977,85435,1002,7825,0.00714595062797748,42.73,10,4,17,62,12.1674780584372,324,2017-09-20,2024-07-17,https://github.com/apache/RocketMQ,evolved
Roller,35028247.56510864,3699,363,16,257,119,0,2,0,-5,285,35,206,62247,319,4836,0.00451711329265057,11.42,36,2,0,16,13.617451928483076,304,2007-02-21,2024-06-09,https://github.com/apache/Roller,evolved
Rya,5337707.143636074,62,298,10,0,80,0,5,1,0,21,8,0,43869,56,441,0.019549559849091118,69.83,34,1,1,13,14.092442701148473,251,2019-09-18,2024-04-21,https://github.com/apache/Rya,evolved
SINGA,2115291.305882353,519,7896,10,57,1228,-8,5,0,4,59,33,59,15550,563,2242,0.0,49.84,40,0,10,6,14.906635112124448,114,2019-10-16,2024-07-17,https://github.com/apache/SINGA,evolved
SIS,27125651.41981724,1134,241,12,226,45,0,1,0,0,82,18,0,33474,379,8801,0.0014392520983786124,32.52,0,12,7,59,3.3243404150330127,330,2012-09-19,2024-07-12,https://github.com/apache/SIS,evolved
Samza,3137115.141788171,7627,1937,10,93,329,1,14,0,-24,487,213,430,77746,676,2303,0.04246630111948824,101.24,41,0,0,5,10.89988958410011,448,2015-01-21,2024-08-13,https://github.com/apache/Samza,evolved
incubator-Sedona,1301940.800595238,543,4300,10,-187,656,49,2,0,2,55,22,515,19190,995,1259,0.0,82.0,31,0,5,18,23.928289331961032,260,2022-12-21,2024-07-17,https://github.com/apache/incubator-Sedona,evolved
Sentry,2891828.7415288896,8739,330,9,109,90,0,7,0,-11,162,27,0,31901,55,1694,0.10043420804228809,113.42,41,1,3,5,25.590229972974356,158,2016-03-16,2021-01-20,https://github.com/apache/Sentry,evolved
servicecomb-java-chassis,2486568.5857371795,5167,4594,8,77,802,-74,2,0,-8,183,86,173,9584,169,4331,0.003562176165803109,70.69,33,0,0,0,9.877403479737822,73,2018-10-17,2024-07-17,https://github.com/apache/servicecomb-java-chassis,evolved
ServiceMix,9505022.890423281,8957,463,11,0,153,0,2,1,0,444,25,28,57078,33,941,0.2565341533055128,21.12,0,0,1,0,30.49464558898521,32,2007-09-19,2024-07-25,https://github.com/apache/ServiceMix,evolved
ShardingSphere,1161504.1938786507,35212,45940,9,167,6666,-265,3,0,-12,1187,509,12154,54743,5838,37364,0.0019174979444297926,88.48,45,0,31,0,50.82433762805714,81,2020-04-16,2024-07-19,https://github.com/apache/ShardingSphere,evolved
ShenYu,471951.3027959548,2439,19624,7,132,2902,-205,16,0,-37,264,125,458,83477,237,3235,0.0,65.23,49,0,5,0,28.992826398852223,79,2022-07-28,2024-07-17,https://github.com/apache/ShenYu,evolved
Shindig,2131112.2827931223,3529,201,16,167,69,1,4,1,-8,234,28,0,77022,150,5223,0.053649407361197755,60.48,33,0,1,8,28.03985044138903,121,2010-01-21,2023-04-14,https://github.com/apache/Shindig,evolved
Shiro,285430.79032258067,400,10860,16,-223,2308,21,3,0,1,130,86,1368,20007,127,4602,0.0,72.19,7,0,0,3,2.836151477499865,146,2010-09-22,2024-07-17,https://github.com/apache/Shiro,evolved
SkyWalking,471212.21141602634,19150,53543,10,117,6469,-187,4,0,-22,1012,394,1200,60668,3210,5035,0.006646306502381203,53.23,48,0,0,11,15.20599756855329,166,2019-04-17,2024-07-18,https://github.com/apache/SkyWalking,evolved
solr,5804980.244132344,153861,2827,4,9,627,17,13,0,28,4990,472,12238,28083,26078,44321,0.014599517557871056,80.9,0,12,37,173,14.323452550782088,675,2007-01-17,2024-08-14,https://github.com/apache/solr,evolved
sqoop,3420640.9166456223,17892,2521,14,35,587,0,4,1,-4,766,43,119,86084,309,1977,0.08361275214221087,97.81,30,0,6,16,10.714285714285714,191,2012-03-21,2021-07-05,https://github.com/apache/sqoop,evolved
stanbol,3390509.830874685,2101,297,15,726,75,1,4,1,-11,127,18,0,8584,681,6284,0.00662458296330077,27.26,0,10,5,55,20.44979681818929,403,2012-09-19,2024-02-29,https://github.com/apache/stanbol,evolved
storm,50248924.65036185,22991,17218,12,292,4072,-87,6,0,-35,1286,417,97,71786,4386,10177,0.008688570409707297,28.47,43,0,10,19,7.425844809408389,243,2014-09-17,2024-08-12,https://github.com/apache/storm,evolved
stratos,2242744.1498368895,2438,432,11,150,118,-11,5,0,-22,142,68,0,73520,524,9120,0.011395504117516136,4.04,0,3,36,107,62.16691331449841,438,2014-05-21,2018-07-29,https://github.com/apache/stratos,evolved
streampipes,2487376.9078014186,2088,1317,7,315,175,-268,1,0,-8,77,42,1114,69577,909,10757,0.0,8.44,29,0,0,4,9.66161830120737,133,2022-11-17,2024-07-18,https://github.com/apache/streampipes,evolved
subversion,5721383.217146743,8049,1308,16,1288,176,0,9,0,-21,288,63,0,18760,1660,80566,0.015222624468164515,35.31,18,5,120,26,16.6748198585311,289,2010-02-17,2024-07-11,https://github.com/apache/subversion,evolved
superset,4559071.683918863,26312,134611,10,-321,13137,-185,11,0,4,1689,594,2450,81989,2476,16436,0.0,55.2,25,1,19,65,17.325355018249233,648,2020-11-19,2024-07-18,https://github.com/apache/superset,evolved
synapse,3625940.604568334,4446,184,16,700,54,2,4,0,-12,303,65,117,12384,347,13258,0.01423424618172977,18.47,0,8,1,44,12.56796166302739,297,2007-01-02,2023-12-03,https://github.com/apache/synapse,evolved
syncope,4414310.49166312,10101,676,11,309,176,68,1,0,-1,227,62,371,41217,37,13380,0.01218815969410109,22.85,13,6,4,72,22.19816631210347,435,2012-11-21,2024-08-05,https://github.com/apache/syncope,evolved
systemml,12860556.038354382,3852,110,10,0,98,0,3,1,0,80,1,0,84256,69,3298,0.004412125582816249,31.71,0,18,24,86,15.715648096638322,798,2017-05-18,2024-08-14,https://github.com/ckadner/systemml,evolved
tvm,1446687.8962162163,6117,26287,9,9,3409,-227,10,0,-26,851,561,1983,69491,1059,11666,0.008458171623644737,65.3,0,18,52,220,11.854565604338871,411,2020-11-18,2024-07-19,https://github.com/apache/tvm,evolved
tajo,1999797.9251477828,13945,377,11,184,111,-41,1,1,-5,97,36,1019,5507,625,2306,0.027391460117903787,31.25,0,19,17,50,10.73668854850474,427,2014-04-01,2021-03-18,https://github.com/apache/tajo,evolved
tapestry-5,17459245.647946816,11748,327,13,-9,91,0,1,0,3,715,56,0,32728,343,6250,0.03151545845898847,76.94,24,12,11,28,11.935251327085654,460,2003-05-29,2024-08-18,https://github.com/apache/tapestry-5,evolved
incubator-Tephra,3459915.717818583,80,117,9,0,53,0,5,1,0,10,5,0,4585,21,488,0.021598670851024553,85.32,32,1,2,1,60.61860691670726,120,2019-11-15,2023-04-17,https://github.com/apache/incubator-Tephra,evolved
Tez,3892117.152621719,25862,1345,12,297,415,0,3,0,-1,499,91,202,79460,2396,1868,0.08101408078270642,74.52,32,2,15,28,11.158180033292076,333,2014-07-16,2024-08-13,https://github.com/apache/Tez,evolved
Thrift,7075177.10249408,28459,24494,16,47,4000,0,8,0,7,2875,579,492,75524,635,6376,0.09540455024860629,43.09,0,11,25,110,18.036635328374885,608,2010-10-20,2024-08-12,https://github.com/apache/Thrift,evolved
Tika,2530141.3405298893,26916,5366,16,-358,754,36,1,0,6,1725,169,2812,2728,1537,9310,0.00782691773774722,46.71,0,6,8,26,10.635393143091768,301,2008-10-28,2024-08-15,https://github.com/apache/Tika,evolved
TinkerPop,4837967.293262927,13029,4657,10,422,791,-18,2,0,0,660,210,73,54412,300,20823,0.004410432351142159,58.93,21,5,13,21,15.700786668528604,256,2016-05-23,2024-08-13,https://github.com/apache/TinkerPop,evolved
myfaces-tobago,21826305.97335807,6134,66,8,102,24,0,1,0,-5,158,30,0,72091,352,17050,0.009105875963203097,26.21,33,6,5,13,10.139520422836268,214,2006-03-23,2024-08-19,https://github.com/apache/myfaces-tobago,evolved
TrafficControl,16071352.59264214,5263,2405,9,499,339,-216,6,0,-22,179,141,1984,71521,2015,12229,0.007108298365091376,59.94,0,8,16,90,16.921826230403152,582,2018-05-16,2024-07-19,https://github.com/apache/TrafficControl,evolved
TrafficServer,9228386.34092171,8310,4290,16,-51,782,224,10,0,11,625,486,9263,44150,1076,20497,0.0004904827482125676,29.57,39,1,43,5,8.03715528392061,178,2010-04-21,2024-07-19,https://github.com/apache/TrafficServer,evolved
Trafodion,5147353.154423019,2867,648,10,332,154,-117,1,1,-32,118,61,205,74216,889,6423,0.02631017004394394,5.28,0,50,372,1187,28.25123892476348,4510,2017-12-20,2021-05-05,https://github.com/apache/Trafodion,evolved
myfaces-trinidad,3509566.0565843736,6869,18,8,389,10,1,2,1,-8,548,31,1,48502,189,5811,0.06274220335855324,317.59,13,2,34,67,21.00866908609736,334,2007-04-22,2022-08-01,https://github.com/apache/myfaces-trinidad,evolved
Twill,4559486.354592591,958,205,9,16,71,-8,1,0,-1,50,16,0,25856,50,345,0.008817939946788294,35.73,4,0,0,0,1.7449995884434932,85,2016-06-15,2020-03-15,https://github.com/apache/Twill,evolved
Unomi,46596848.02503785,1446,667,10,9,125,6,4,0,-6,127,44,436,85424,250,2788,0.012532208948231436,18.94,41,0,3,7,5.185333200119892,156,2019-02-20,2024-08-12,https://github.com/apache/Unomi,evolved
Usergrid,6037019.775566318,971,2416,12,545,430,-84,3,1,-11,74,31,0,67503,950,10237,0.0009125395977004002,31.89,32,1,24,45,34.117849640114336,184,2015-08-19,2021-10-11,https://github.com/apache/Usergrid,evolved
VCL,21095761.69957851,2150,42,8,36,20,0,2,0,-2,52,13,0,26424,14,2853,0.04687656171914043,0.0,22,3,13,52,18.33068556764023,380,2012-06-20,2024-04-05,https://github.com/apache/VCL,evolved
VXQuery,14976894.828093171,485,73,10,38,33,0,3,1,-3,44,14,0,79696,111,1659,0.010792778649921507,39.18,16,9,2,26,24.185124286681496,355,2014-07-16,2021-02-05,https://github.com/apache/VXQuery,evolved
Whirr,2167756.2674780684,2982,246,15,66,60,0,2,1,-6,129,12,0,38749,551,237,0.02645930115128257,66.94,3,0,0,0,11.487964989059082,66,2011-08-17,2015-04-23,https://github.com/apache/Whirr,evolved
brpc,4524061.065319865,1695,36335,8,33,3935,-40,1,0,-7,181,71,569,78090,1189,2067,0.0,40.3,3,8,16,54,10.599798950072602,1089,2022-12-22,2024-07-19,https://github.com/apache/brpc,evolved
logging-log4cxx,570062.2258064516,182,651,8,65,121,10,2,0,2,57,41,0,6378,340,2279,0.0,41.7,29,1,1,7,5.116512380865521,263,2005-01-11,2024-07-19,https://github.com/apache/logging-log4cxx,evolved
logging-log4net,207890.46666666667,81,1991,8,-109,319,3,2,0,7,46,22,150,26355,146,2426,0.0,19.21,19,0,4,7,10.179529027745396,208,2007-02-21,2024-07-13,https://github.com/apache/logging-log4net,evolved
Flink,4324400.851542074,150989,60172,11,273,13102,70,16,0,56,4721,1628,12851,7828,6925,40618,0.017610098391586823,113.4,0,21,65,214,14.329816034384866,436,2014-12-17,2024-07-16,https://github.com/apache/Flink,evolved
Pulsar,5351959.264741484,28047,31473,9,-433,3537,-358,12,0,18,1231,649,7279,64666,3295,17031,0.015899818366024405,98.41,0,5,42,109,11.537613250589228,327,2018-09-19,2024-07-18,https://github.com/apache/Pulsar,evolved
NetBeans,2133789.239591516,7325,6027,8,17,835,-41,2,0,-19,417,194,5061,5772,1584,10109,0.0033561969508432224,32.87,0,50,523,1844,26.921600313324483,2498,2019-04-17,2024-07-16,https://github.com/apache/NetBeans,evolved
incubator-NuttX,1342959.747826087,2634,6071,6,573,1059,-696,6,0,-13,377,197,2067,67554,6816,46970,0.0,0.02,0,50,452,1230,36.079517770384086,1513,2022-11-17,2024-07-18,https://github.com/apache/incubator-NuttX,evolved
PLC4X,11618259.974489795,1203,2796,8,-28,390,74,2,0,1,119,78,3669,72265,395,8525,0.0011259210199519828,18.03,0,50,63,531,17.64623854007044,5637,2019-04-17,2024-07-17,https://github.com/apache/PLC4X,evolved
abdera,2938138.296738281,608,61,16,286,25,0,2,1,0,76,5,0,26165,35,1611,0.017543859649122806,55.18,40,1,0,2,9.878605181684865,274,2006-06-06,2008-11-08,https://github.com/apache/abdera,graduated
airavata,6952636.983029673,1571,324,11,-266,114,0,5,0,3,61,3,1112,46472,303,10526,0.015394894854222536,2.27,0,50,95,340,49.89738327347358,323,2011-05-05,2012-09-19,https://github.com/apache/airavata,graduated
age,3819620.014249615,590,6087,5,5,401,14,5,0,8,77,17,578,81544,269,1188,0.0007904797493460576,5.09,35,2,11,20,15.380107166778298,279,2020-04-29,2022-05-18,https://github.com/apache/age,graduated
apisix,901329.6034821316,2035,30442,6,-15,2452,29,5,0,-5,161,32,2413,67462,2162,2406,7.663814024779666e-05,7.48,41,1,0,12,26.86967497633323,415,2019-10-17,2020-07-15,https://github.com/apache/apisix,graduated
accumulo,13758961.065113984,1190,2552,14,-40,444,0,3,0,1,82,0,1473,33674,360,13050,0.02175910255790339,51.42,0,10,23,61,19.842345198603667,469,2011-09-12,2012-03-21,https://github.com/apache/accumulo,graduated
airflow,1023938.229337128,486,84544,10,-6,13814,122,4,0,72,933,491,9195,40952,6612,28567,0.0,111.75,16,2,36,21,21.64810932948575,326,2016-03-31,2018-12-19,https://github.com/apache/airflow,graduated
ambari,765781.3315203603,11849,5893,14,-712,1667,1,14,0,22,208,12,4044,31139,2382,35483,0.04916608473943193,68.85,0,25,57,137,19.7611814247006,437,2011-08-30,2013-11-20,https://github.com/apache/ambari,graduated
amber,1416990.0503432495,0,5340,8,0,204,0,3,0,0,0,0,674,45152,187,1306,0.0,0.15,0,0,0,0,7.993363999698364,21,2010-05-09,2013-01-16,https://github.com/amberframework/amber,graduated
any23,13348221.226230945,514,243,13,-88,55,0,2,1,2,32,2,231,23361,168,1952,0.004649651276154288,83.04,24,1,1,2,3.243721433135106,159,2011-10-01,2012-08-28,https://github.com/apache/any23,graduated
apex-core,1396136.5372975792,1821,878,10,174,176,-60,3,1,-5,93,13,3,80363,318,5979,0.018842439386776523,49.37,29,5,8,25,7.606539640560197,533,2015-08-17,2016-04-20,https://github.com/apache/apex-core,graduated
activemq-apollo,2006277.8695652173,68,375,14,0,71,0,1,1,0,8,0,0,3439,231,2039,0.0011686443725278676,22.47,35,1,7,13,9.32292212556336,226,2004-11-08,2005-06-03,https://github.com/apache/activemq-apollo,graduated
aries,6276092.744544736,1267,383,16,-352,155,0,7,0,-3,97,11,454,6761,164,20683,0.01830544709532788,61.24,34,2,3,14,11.762656022302478,180,2009-09-22,2010-12-15,https://github.com/apache/aries,graduated
asterixdb,2026352.3108965103,1437,702,10,-74,138,1,5,0,1,65,7,0,38214,930,8880,0.013585632902009785,21.82,0,15,20,116,15.093468110387764,894,2015-02-28,2016-04-20,https://github.com/apache/asterixdb,graduated
atlas,4064172.445812565,7844,17716,8,-420,1476,6,1,0,19,337,0,204,56893,165,1805,0.03426157141673669,4.77,0,34,24,146,37.58379160014407,1391,2015-05-05,2017-06-21,https://github.com/alibaba/atlas,graduated
aurora,4232884.336787762,3290,8243,3,0,633,0,1,0,0,108,0,386,45940,62,358,0.10753424657534247,0.0,5,0,0,0,16.552894442516102,71,2013-10-01,2015-03-18,https://github.com/linhaojun857/aurora,graduated
beam,11782722.634169074,4666,19564,9,116,4198,415,36,0,9,401,39,6636,454,5894,79745,0.008989920754626637,75.63,0,17,79,149,12.888702257245756,2003,2016-02-01,2016-12-21,https://github.com/apache/beam,graduated
bval,7829269.789685184,400,107,14,126,29,0,2,0,-3,31,5,141,71588,67,1561,0.037832929782082324,32.81,12,0,0,0,5.550424049038543,67,2010-03-01,2012-02-15,https://github.com/apache/bval,graduated
Bigtop,2239355.087712103,2658,1685,14,-35,497,0,5,0,-1,99,3,528,68013,421,3824,0.04199438481909958,202.59,6,0,1,0,12.363922038083125,83,2011-06-20,2012-09-19,https://github.com/apache/Bigtop,graduated
brooklyn,5337527.811984751,1098,346,10,27,70,0,1,1,3,62,10,6,26297,83,2506,0.5772151898734177,0.0,0,0,0,0,0.0,0,2014-05-01,2015-11-18,https://github.com/apache/brooklyn,graduated
Buildr,14307120.323351242,892,368,16,-90,90,0,3,1,2,84,0,435,71886,7,4393,0.04629035706649562,7.7,27,0,4,3,11.341433039050177,106,2007-11-01,2009-02-23,https://github.com/apache/Buildr,graduated
cxf,5305442.43280377,3837,3135,11,0,1427,0,2,0,0,329,0,540,81450,987,38174,0.04029562748024903,122.24,0,1,18,78,10.954682545820122,270,2006-08-15,2008-04-16,https://github.com/apache/cxf,graduated
calcite,2703570.3499742015,3752,11246,11,6,2314,34,2,0,5,180,21,1586,74996,1073,4904,0.03934204004006029,51.01,0,6,34,64,5.842364724754489,474,2014-05-19,2015-10-22,https://github.com/apache/calcite,graduated
carbondata,2573552.0577221178,2488,3562,9,-38,704,186,6,0,24,227,18,257,38704,852,5208,0.027771365252320053,69.03,0,11,6,97,11.891818223117344,361,2016-06-02,2017-04-19,https://github.com/apache/carbondata,graduated
cassandra,3227039.5237649814,6021,20788,16,-301,3572,0,10,0,2,184,2,789,34656,15937,15638,0.024783786973758208,96.35,12,3,31,46,5.020485683911272,420,2009-01-01,2010-02-17,https://github.com/apache/cassandra,graduated
Cayenne,6577428.130723387,864,759,16,0,133,0,2,0,0,57,0,0,56294,2111,6554,0.015116948465917572,68.57,0,8,5,28,11.015244726879397,1258,2006-03-09,2006-12-20,https://github.com/apache/Cayenne,graduated
celeborn,888140.8746164137,2558,1984,4,-30,338,-110,5,0,7,211,43,1031,35643,684,1950,0.00911526284660613,38.74,38,1,7,24,14.674099330699429,322,2022-10-18,2024-03-21,https://github.com/apache/celeborn,graduated
celix,9461165.844177874,374,403,11,-34,85,0,2,0,2,25,0,1104,16378,1869,2882,0.012629105683097558,6.08,40,1,6,10,10.43337983955354,154,2010-11-02,2014-07-16,https://github.com/apache/celix,graduated
Chukwa,2653716.3200955587,918,213,13,32,45,0,1,1,-3,54,4,0,34723,556,548,0.007568359375,15.01,38,1,6,17,12.52034649853131,385,2010-07-14,2013-09-27,https://github.com/apache/Chukwa,graduated
Clerezza,2862894.8425464923,1996,103,14,356,29,0,1,0,-3,55,7,1,68927,314,3798,0.01443277457049454,30.72,5,0,2,1,6.523757932208636,228,2009-11-27,2013-02-20,https://github.com/apache/Clerezza,graduated
cloudstack,2080764.2270408163,0,4792,12,-51,1072,0,16,0,22,157,53,2707,56320,612,50854,0.0,44.65,0,48,151,257,23.51793355806089,540,2012-04-16,2013-03-20,https://github.com/apache/cloudstack,graduated
incubator-CommonsRDF,3116378.3989677425,623,133,10,-16,43,-11,2,0,-4,26,7,0,69811,229,1491,0.005708848715509039,71.25,2,0,0,0,5.288736420811892,91,2015-03-06,2016-11-28,https://github.com/apache/incubator-CommonsRDF,graduated
CouchDB,17370697.99749606,421,13234,16,-113,1018,0,2,0,1,96,0,3943,23859,571,17018,0.04353470258240994,45.44,25,9,27,22,15.131052153952917,446,2008-02-12,2008-11-19,https://github.com/apache/CouchDB,graduated
Crunch,438762.56447754515,1237,293,13,85,85,0,1,1,-9,56,9,0,61888,57,1217,0.0467412771560237,18.36,20,0,0,4,14.26175538853345,114,2012-05-26,2013-02-20,https://github.com/apache/Crunch,graduated
Curator,8543990.76894107,263,7406,11,41,1236,0,2,0,2,49,0,1092,3988,297,2764,0.03545716342692585,98.19,13,0,1,0,9.30219212670722,78,2013-03-11,2013-09-01,https://github.com/apache/Curator,graduated
Daffodil,19028044.231168017,2548,253,8,-22,73,53,2,0,0,69,18,0,44482,154,3934,0.009129213483146067,67.37,32,3,11,11,8.760543113873284,740,2017-08-27,2021-02-17,https://github.com/apache/Daffodil,graduated
DataFu,16224143.333162652,875,294,11,23,66,1,1,0,-4,76,19,0,73929,145,526,0.0013168724279835392,64.74,17,0,0,6,20.682749203459263,181,2014-01-05,2018-02-21,https://github.com/apache/DataFu,graduated
DataSketches,5524025.4081,35,176,6,32,10,0,1,1,-1,13,1,0,376,509,112,5.340168749332479e-05,0.0,0,0,0,0,0.0,0,2019-03-30,2020-12-16,https://github.com/apache/DataSketches,graduated
DeltaSpike,7193572.719667012,1046,433,12,89,137,0,2,0,-4,85,12,1228,14317,64,2628,0.043863786435241955,83.62,38,0,0,8,3.312295973884657,141,2011-12-07,2013-05-28,https://github.com/apache/DeltaSpike,graduated
Deltacloud,1942697.7177250981,281,169,15,258,25,1,2,1,2,41,1,0,65397,88,2586,0.034282064021577116,159.19,14,0,2,0,27.73544589582325,94,2010-05-19,2011-10-26,https://github.com/apache/Deltacloud,graduated
Derby,7317177.814795682,1776,818,14,-153,140,0,4,0,-1,171,2,0,67715,117,8152,0.04954986969912343,95.1,0,22,53,170,10.741400427322358,901,2004-08-15,2005-07-18,https://github.com/apache/Derby,graduated
DirectMemory,1849309.6265779824,437,136,14,75,28,-1,1,1,-3,28,1,0,76108,10,643,0.008926627476594819,40.69,3,0,2,0,7.289701062667594,78,2011-10-05,2012-08-15,https://github.com/apache/DirectMemory,graduated
DistributedLog,1494305.4623906256,971,440,9,-5,74,-20,1,1,-6,52,20,0,25760,53,310,0.004650376257715397,43.83,40,1,6,10,5.70827425330467,136,2016-06-24,2017-07-01,https://github.com/apache/DistributedLog,graduated
DolphinScheduler,758930.9804658152,7150,29384,6,12,4506,86,12,0,19,424,122,2355,26689,1619,9270,0.0,30.91,41,1,7,40,18.12270828003752,494,2019-08-29,2021-03-17,https://github.com/apache/DolphinScheduler,graduated
incubator-Doris,1725646.2921501705,7469,26907,8,-1062,3129,1666,16,0,123,567,193,8227,13055,5005,27023,0.0,38.77,0,50,132,464,26.52888978287304,1039,2018-07-18,2022-06-15,https://github.com/apache/incubator-Doris,graduated
Drill,4160190.3085112846,5875,4831,13,-282,983,2,9,0,17,246,21,669,23006,264,4496,0.07747495270791004,58.78,0,9,9,57,11.353865257781475,358,2012-08-11,2014-11-19,https://github.com/apache/Drill,graduated
Druid,17795523.673546858,7227,30275,13,-166,3657,74,7,0,10,398,109,2924,84603,4255,11903,0.0,118.46,0,5,39,181,17.606106537059308,644,2018-02-28,2019-12-18,https://github.com/apache/Druid,graduated
Dubbo,3568030.261752914,6622,106830,13,-196,26350,154,6,0,27,642,84,4006,67118,395,8868,7.202146239579394e-05,73.21,33,2,3,15,11.023236084272046,260,2018-02-16,2019-05-15,https://github.com/apache/Dubbo,graduated
ECharts,6254384.54312573,22388,138936,12,-275,19576,101,2,0,5,1731,68,3318,35500,361,9309,3.3215970238490664e-05,143.57,31,1,4,89,15.36511346180265,211,2018-01-18,2020-12-16,https://github.com/apache/ECharts,graduated
ESME,4435278.189178218,871,46,15,-133,12,0,2,1,2,30,3,0,58383,90,2060,0.04081033470346448,12.3,5,0,0,0,14.701921899865344,98,2008-12-02,2010-12-15,https://github.com/apache/ESME,graduated
Eagle,1588072.006220073,3640,995,10,-145,181,52,3,1,5,98,13,0,62996,134,990,0.011411428250995346,29.28,42,1,0,9,15.599232616346288,246,2015-10-26,2016-12-21,https://github.com/apache/Eagle,graduated
Empire-db,12525233.49368811,332,190,14,138,24,0,1,0,2,31,0,0,32762,144,1700,0.01044841097083152,4.71,31,8,3,6,51.93314590802404,140,2008-07-08,2012-01-24,https://github.com/apache/Empire-db,graduated
