project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,project_url,status
Chukwa,2653716.3200955587,560,213,13,19,45,0,1,1,-2,31,9,0,34723,556,548,0.007568359375,15.01,38,1,6,17,12.52034649853131,385,2013-09-27,2019-07-05,https://github.com/apache/Chukwa,evolved
Clerezza,2862894.8425464923,976,103,14,117,29,1,1,0,-4,44,17,1,68927,314,3798,0.01443277457049454,30.72,5,0,2,1,6.523757932208636,228,2013-02-20,2022-05-20,https://github.com/apache/Clerezza,evolved
cloudstack,2080764.2270408163,16555,4792,12,2405,1072,66,16,0,-61,775,607,2707,56320,612,50854,0.000814766383342554,44.65,0,48,151,257,23.51793355806089,540,2013-03-20,2024-07-23,https://github.com/apache/cloudstack,evolved
incubator-CommonsRDF,3116378.3989677425,193,133,10,8,43,-1,2,0,0,38,15,0,69811,229,1491,0.005708848715509039,71.25,2,0,0,0,5.288736420811892,91,2016-11-28,2024-07-12,https://github.com/apache/incubator-CommonsRDF,evolved
CouchDB,17370697.99749606,27675,13234,16,142,1018,3,2,0,4,1695,289,3943,23859,571,17018,0.05584403542120636,45.44,25,9,27,22,15.131052153952917,446,2008-11-19,2024-07-12,https://github.com/apache/CouchDB,evolved
Crunch,438762.56447754515,3418,293,13,52,85,1,1,1,-6,190,55,0,61888,57,1217,0.0467412771560237,18.36,20,0,0,4,14.26175538853345,114,2013-02-20,2021-02-02,https://github.com/apache/Crunch,evolved
Curator,8543990.76894107,4215,7406,11,67,1236,5,2,0,-2,580,139,1092,3988,297,2764,0.03545716342692585,98.19,13,0,1,0,9.30219212670722,78,2013-09-01,2024-06-21,https://github.com/apache/Curator,evolved
Daffodil,19028044.231168017,2471,253,8,4,73,-34,2,0,-3,57,21,0,44482,154,3934,0.009129213483146067,67.37,32,3,11,11,8.760543113873284,740,2021-02-17,2024-07-10,https://github.com/apache/Daffodil,evolved
DataFu,16224143.333162652,225,294,11,5,66,0,1,0,0,33,15,0,73929,145,526,0.0013168724279835392,64.74,17,0,0,6,20.682749203459263,181,2018-02-21,2024-07-10,https://github.com/apache/DataFu,evolved
DataSketches,5524025.4081,14,176,6,3,10,0,1,1,-1,5,2,0,376,509,112,5.340168749332479e-05,0.0,0,0,0,0,0.0,0,2020-12-16,2024-06-13,https://github.com/apache/DataSketches,evolved
DeltaSpike,7193572.719667012,3852,433,12,-17,137,5,2,0,-3,310,72,1228,14317,64,2628,0.043863786435241955,83.62,38,0,0,8,3.312295973884657,141,2013-05-28,2024-05-21,https://github.com/apache/DeltaSpike,evolved
Deltacloud,1942697.7177250981,2104,169,15,167,25,0,2,1,-5,103,33,0,65397,88,2586,0.034282064021577116,159.19,14,0,2,0,27.73544589582325,94,2011-10-26,2020-09-22,https://github.com/apache/Deltacloud,evolved
Derby,7317177.814795682,66972,818,14,88,140,0,4,0,-11,1063,37,0,67715,117,8152,0.04954986969912343,95.1,0,22,53,170,10.741400427322358,901,2005-07-18,2024-07-02,https://github.com/apache/Derby,evolved
DirectMemory,1849309.6265779824,135,136,14,76,28,1,1,1,-5,26,7,0,76108,10,643,0.008926627476594819,40.69,3,0,2,0,7.289701062667594,78,2012-08-15,2023-12-16,https://github.com/apache/DirectMemory,evolved
DistributedLog,1494305.4623906256,180,440,9,40,74,-22,1,1,-4,21,9,0,25760,53,310,0.005411346918068826,43.83,40,1,6,10,5.70827425330467,136,2017-07-01,2023-04-17,https://github.com/apache/DistributedLog,evolved
DolphinScheduler,758930.9804658152,22365,29384,6,71,4506,-134,12,0,-1,769,391,2355,26689,1619,9270,0.01343059411552959,30.91,41,1,7,40,18.12270828003752,494,2021-03-17,2024-07-12,https://github.com/apache/DolphinScheduler,evolved
incubator-Doris,1725646.2921501705,7486,26907,8,-3453,3129,-1541,16,0,-8,792,291,8227,13055,5005,27023,0.0,38.77,0,50,132,464,26.52888978287304,1039,2022-06-15,2024-07-14,https://github.com/apache/incubator-Doris,evolved
Drill,4160190.3085112846,52091,4831,13,146,983,11,9,0,-13,1115,227,669,23006,264,4496,0.07810551390737756,58.78,0,9,9,57,11.353865257781475,358,2014-11-19,2024-07-11,https://github.com/apache/Drill,evolved
Druid,17795523.673546858,8766,30275,13,-145,3657,44,7,0,26,654,278,2924,84603,4255,11903,0.0021915280140719167,118.46,0,5,39,181,17.606106537059308,644,2019-12-18,2024-07-13,https://github.com/apache/Druid,evolved
Dubbo,3568030.261752914,18928,106830,13,139,26350,-265,6,0,-31,1457,514,4006,67118,395,8868,0.014962458812726192,73.21,33,2,3,15,11.023236084272046,260,2019-05-15,2024-07-13,https://github.com/apache/Dubbo,evolved
ECharts,6254384.54312573,26835,138936,12,166,19576,-57,2,0,-9,1163,139,3318,35500,361,9309,0.016325649372218164,143.57,31,1,4,89,15.36511346180265,211,2020-12-16,2024-07-13,https://github.com/apache/ECharts,evolved
